message_id,cleaned_text,timeline
129507,"تنها کسی که تو مملکت داره کارش رو خوب انجام میده چسب زن الویه نامینو!
داداش یکم شل بگیر باز نمیشه این",timeline_1
129512,"اولین سالی که بابانوئل برای بچه‌های ما چیزی آورد، فکر می‌کنید واکنش دخترم چی بود؟
صبح بیدار شد و هدیه‌ش رو پای درخت دید، با نگرانی برگشت گفت وای مامان سنتا از کجا اومده تو؟ نکنه آقا دزده هم از همونجا بتونه بیاد:|
ذهن بچه‌م کاملا ایرانی بود!",timeline_1
129513,"داشتم گالریمو مرتب می‌کردم عکس بچگی این تخم سگو دیدم که یه روز رندوم تصمیم گرفت دیگه نیاد پیشم
خامه اگه این توییتو می‌بینی برگرد میوزاده",timeline_1
129514,"دم رفتن بهم گفت «اصن حواست بود کجاها امن بودم؟ کجاها ادب کردم و چیزی نگفتم. کجاها می‌تونستم ناراحتت کنم و نکردم. کجاها می‌تونستم به‌روت بیارم اما نیاوردم»؟ با خنده گفتم «میشه یه‌دوتا مثال بزنی؟»… یه‌ذره زل زد بهم و بعدش آروم گفت: «مثالاشو بعدا بقیه برات می‌زنن».
داستان_آدم‌ها",timeline_1
129516,"تو خیابون ما ۲۰ ساله یه ساندویچی هست، صاحبش خانومه، کتلت لاهیجان میده، پیرمرد پیرزنا بهش سفارش میدن ساندویچ مرغ و برگر سالم هم میزنه
بری داخل چای دم کرده باشه برات میریزه
با بچه کوچیک بری، اول یه لقمه میگیره به بچه میده تا سفارشت آماده بشه
خیلی باعشق و باحاله",timeline_1
129517,"هفدهمین جشنواره بین‌المللی پژوهش و نوآوری در مدیریت شهری
مهلت ارسال آثار: تا ۱۵ دی ماه ۱۴۰۴
اختتامیه جشنواره: فروردین ۱۴۰۵
فرصت حضور و دریافت غرفه نمایشگاهی برای شرکت‌ها و فعالان حوزه مدیریت شهری
کسب اطلاعات بیشتر:
TUFIran.com
مرکز مطالعات و برنامه‌ریزی شهر تهران |",timeline_1
129523,"من نه به پولدارا حسودیم میشه، نه به مهاجرت کرده ها، نه به باهوشا و .....
من دیگه فقط و فقط به مرده ها حسودیم میشه.",timeline_1
129532,نمیشه دوباره بهم حقوق بدین؟ اینی که دادین تموم شد,timeline_1
129533,دوستان خیلی ساده بگم سرطان داره بیداد میکنه. شل کنید و استرس رو کنار بزارید. به شکل هنرمندانه با هرچی که هست زندگی کنید تا وقت هست. این جملات زرد نیستن خود واقعیتن!,timeline_1
129534,تا حالا انقدر تحت فشار بودی که توو خیابون راه بری گریه کنی؟,timeline_1
129537,بالاخره میم هایی که از اینجا سیو کردم یه جا بدردم خورد.,timeline_1
129541,اونایی که می‌گن وقتی اینجوری می‌شه یعنی هاید شدی، علیرضا قربانی چرا باید منو هاید کنه؟,timeline_1
129543,تراپی شده جلسه ای ۲ میلیون، من از وقتی ۱۰۰ تومن بود روانیم.,timeline_1
129548,"دنت از پیش ما رفت،
رفت پیش این عربا اسمشم گذاشت دانیت
^T",timeline_1
129560,"یک مسئله‌ای که آخر هفته‌ها دارم اینه که هیچکس رو ندارم باهاش بیرون برم. بعضی وقت‌ها می‌گیرم می‌خوابم تا فقط تعطیلاتم بگذره و بعضی وقت‌ها هم می‌رم ببرون تنها قدم می‌زنم.
هیچوقت فکر نمی‌کردم در ابتدای جوانی به بحران دوستیابی بخورم.",timeline_1
