message_id,date,text
134177,2026-05-16T18:50:08+00:00,"تفریح؟ پیاده روی در نقاط نسبتا کور پارک لاله و معذب کردن زوج‌هایی که درحال لیس زدن یک دیگر هستند.
- یاور غالبا مومن
@sut_tw"
134178,2026-05-16T19:01:13+00:00,"باورتون نمیشه دختره امروز تو باشگاه بهم چی کفت:)) 
گفت ببین انقدر لگ تنگ میپوشی جلو حجم گرفتن باسنتو میگیره نخی و آزاد بپوش بذار عضلت قشنگ جای رشد داشته باشه :)))))) 
واقعی گفت:))))
کاملا جدی بود 
بعنوان یک فکت گفت:)))
Moon Fit|باشگاه بانوان مون فی
@sut_tw"
134179,2026-05-16T19:05:09+00:00,"به آقای گچ‌کار گفتیم لطفا تمیز کار کن
گفت با گچ‌کار تلفنی هم حرف بزنی خونه‌ت ریخت‌وپاش میشه :))
-Elmarali
@sut_tw"
134180,2026-05-16T19:10:08+00:00,"تو جمع خانوادگی زن داییم پرسید موقع ازدواج کی منو بهتون معرفی کرد؟
مادربزرگم گفت: یادم نمیاد اون موقع دشمن زیاد داشتیم 
😕
NAHID 
@sut_tw"
134181,2026-05-16T19:20:11+00:00,"‏ظهر رفتم دوش بگیرم، نگو کانفیگم روشن مونده و حجمش تموم شده. 
فکر میکنم از بعد از امیرکبیر، تا الان کسی اینجوری از حموم رفتن ضرر نکرده بوده.
- Hastiovski
@sut_tw"
134182,2026-05-16T19:29:01+00:00,"وسط کلاس تنیس مربیم (که دختر بود) گفت تو ۷۰ و چندی؟ 
گفتم ۷۰، ۷۵ اینا نمیدونم دقیق.
گفت وا مگه میشه؟ اختلافش ۵ ساله!
نگو من داشتم سایز سینه میدادم بهش و اون تاریخ تولدمو میخواست :)))))
 duble h 
@sut_tw"
134183,2026-05-16T19:32:02+00:00,"ژن خوب فقط پریود بدون درد.
Sunshine
@QueenAazam"
134157,2026-05-16T15:31:29+00:00,"یکی از همکلاسیای دوران ابتداییمو تو اینستاگرام پیدا کردم بهش ریکواست دادم قبول نکرد نامرد!!!  مرد حسابی من توی تولد ده سالگیت برنده‌ی مسابقه‌ی ماست‌خوری شده بودم.
- Masoud 
@sut_tw"
134158,2026-05-16T15:40:05+00:00,"🔗
 NO CONTEXT HUMANS PERSIAN 
@sut_tw"
134159,2026-05-16T15:50:06+00:00,"وقتی تو ۵، ۶ سالگی دعام نگرفت و رفتم با گِل‌های تو باغچه مجسمه ساختم که بت پرست بشم.‌
- The Last skywalker 
🦇
@sut_tw"
134160,2026-05-16T16:00:25+00:00,"اسم مادربزرگم تورانه و اسم خواهرش ایرانه بامزه اینجاست که اکثر مواقع ام در حال دعوا و قهرن :)
- moonchild
@sut_tw"
134161,2026-05-16T16:10:09+00:00,"تازه ادکلنمو خریده بودم ،تو نوبت ازمایشگاه بودم یه خانومه مسن خیلی شیک رو کرد به من گفت وای چه بوی گلی میاد خوشحال شدم گفت بوی گل از خودتونه 
گفت خوشگلم بوی گل ماری جوانا بو عطر و ادکلن رو که نگفتم
- پرنسس بی اعصاب
@sut_tw"
134162,2026-05-16T16:20:09+00:00,"نمیدونیم این خاطراتِ کسخلیِ کودکی شما رو باور کنیم یا “وای امیر کوروش خیلی بیشتر از سنش میفهمه”ای که پدر مادرتون تو بچگی می‌گفت.
- نیمستراداموس 
@sut_tw"
134163,2026-05-16T16:31:50+00:00,"خودتو گول نزن
اتفاقا پسرا خوب میدونن باید چجوری رفتار کنن اما you are not the one  عزیزم.
- تی 
@sut_tw"
134164,2026-05-16T16:40:07+00:00,":))))))) بطری آب من توی باشگاه vs بقیه
- Moon Fit|باشگاه بانوان مون فیت
@sut_tw"
134165,2026-05-16T16:50:07+00:00,"دوستم  پریودش عقب افتاده، فکر می‌کرد از استرس جنگه
الان استرس جنگ براش دو خطی شده :))))))
- 
🌙
 
@sut_tw"
134166,2026-05-16T17:04:28+00:00,"قیمتا جوریه که یا پولت نمیرسه چیزی که میخوای رو بخری
یا اگه هم برسه، دلت نمیاد اون همه پولو خرجش کنی...
- Parsa 
@sut_tw"
134167,2026-05-16T17:10:04+00:00,"میری اینستاگرام میبینی ۹۵ درصد پیج های فعال پیج‌های پزشک هاست. همشون پرو خریدن پست میذارن واسه همدیگه. واسه همدیگه کامنت میذارن و همدیگه رو حمایت میکنن. در صورتی که مردم عادی نیستن. رسما یک سیرک بلاهت و بدبختیه.
- The 52 Hz Whale 
🐳
@sut_tw"
134168,2026-05-16T17:20:13+00:00,"میگه اگه میخوای انرژی زنانه داشته باشی نباید تند راه بری. از سر راهم گمشو اونطرف بابا دیرم شد
- نارنگی
@sut_tw"
134169,2026-05-16T17:29:01+00:00,"‏من گفتم عیبی نداره ولی عیب داشت، تا دلت بخواد عیب داشت.
- sadjat
@sut_tw"
134170,2026-05-16T17:40:14+00:00,"۶ ساله‌م بود، گم شده بودم اسممو داده بودن مسجد اون محل از بلندگو اعلام کنه، من فکر کردم خدا داره صدام می‌کنه، نشسته بودم لب جوب زار میزدماااا
-‌ روانشناس روانی
@sut_tw"
134171,2026-05-16T17:50:13+00:00,"باهوش بودن هر کسی از نحوه لاس زدنش معلوم میشه، وقتی میبینی تو یک موضوع تخصصی بدون اینکه صحبت رو جنسی بکنه، داری باهاش لاس میزنی.
- سپیده نامی
@sut_tw"
134172,2026-05-16T18:00:59+00:00,"‏شاباش های دهه هفتاد هشتاد  اینطوری بود که طرف میگفت حالا که دارم هزینه میکنم بذارم دهنش.
درویش
@sut_tw"
134173,2026-05-16T18:10:05+00:00,"‏مامانم خواهرمو دعوا کرد 
خواهرم رفت تو اتاقش در و محکم کوبید
سریع در رو باز کرد اومد بیرون گفت بخدا باد زد مامان.=====)))))
- دتر
@sut_tw"
134174,2026-05-16T18:20:03+00:00,"من همه ی بدافزار هارو تو گوشیم نصب میکنم و راحت به کلاهبردارا دسترسی کیف پولمو میدم تا بعد دیدن موجودی به خوبی کیر بشن
- شرودینگر
@sut_tw"
134175,2026-05-16T18:29:01+00:00,"من: دلم نت جهانی می‌خواد.
عادی‌ترین پاسخ: این اپ رو نصب کن بعد برو توی تنظیمات بزن Tunnel: My Ass و از فلان سایت ۳۱۳تا IP استخراج کن و بعد اپ Alien HIV رو نصب کن و توی تنظیمات بهش اجازه دسترسی به شورتت رو بده و بعد گوشی رو بذار نیم ساعت توی ماکروویو و صبر کن وصل میشی راااااحت.
- استووی
@sut_tw"
134176,2026-05-16T18:40:06+00:00,"ببینید دوستان یک رابطه‌ی موفق و‌ پایدار مثل یک مثلث میمونه که سه ضلع داره. سکس و دوتا چیز دیگه فکر کنم احترام و اینا.
- کیان
@sut_tw"
134137,2026-05-16T12:10:08+00:00,"این داستان ارتباط عاطفی ایرانی‌ها با رئیس‌جمهور کشورهای غربی تازگی نداره، یه بارم بوش زنگ زد و گفت این خانومه که خیلی دلبره از جنیفر لوپز ما بهتره نیناش ناشم بلده؟
- درویش 
@sut_tw"
134138,2026-05-16T12:20:09+00:00,"از نظر من تا وقتی یه پسر از من نپرسه که ""می‌خوای دوست دخترم باشی؟"" ما داریم فقط باهم وقت می‌گذرونیم و نه هیچ چیز بیشتر.
- SARA 
@sut_tw"
134139,2026-05-16T12:29:01+00:00,"دیروز تو مطب دو تا خانوم سرِ نوبت بحثشون شده، منشی به این یکی گفته: نوبت اون خانمه، شما بفرمایید بشینید.
اینم به اون یکی گفته: حالا که رفتی تو، ولی دعا می‌کنم مرضت هرچی هست بدتر بشه.
منشی هم بهش گفته: خب اگه دعات اینقدر گیراست، دعا می‌کردی خودت خوب بشی، نیای دکتر دیگه.
- soha
@sut_tw"
134140,2026-05-16T12:40:05+00:00,"یکی از بدترین شرایطی که ادم توش گیر میفته وقتیه که دارن براش «تولدت مبارک» میخونن
واقعا باید چی کار کرد؟ دست زد؟ رقصید؟ سرت رو بندازی پایین خجالت بکشی؟
soha
@sut_tw"
134141,2026-05-16T12:50:09+00:00,"زنگ زدم به اکسم جواب داد 
گفتم ببین دقیقا برا همین کات کردیم 
چون جواب اکستاتو میدادی 
🤷🏼‍♀️
😎
شمس
@sut_tw"
134142,2026-05-16T13:02:06+00:00,"یه کاپل اینترن داریم 
مورنینگو دختره ارائه میداد
پسره هم براش میزد اسلاید بعدی 
اخرش استاد به شوخی به دختره گف چقد حرف زدی همیشه اینقد حرف میزنی 
پسره سریع جواب داد ولی شیرین حرف میزنه استاد 
کلاس:
🫠
🫠
🫠
🫠
🫠
🫠
🫠
- لانا دل شیخ
@sut_tw"
134143,2026-05-16T13:10:03+00:00,"پریود بودم رفتم درمونگاه آمپول مسکن زدم
وقتی برگشتم هرکاری کردم درماشین باز نمیشد
چنتا مغازه دارا اومدن کمک کنن نتونسن باز کنن
زنگ زدیم کلیدساز اومد و برام بازش کرد
وقتی نشستم تو ماشین دیدم اصلا ماشین من نیس
😐
به معنای واقعی خون به مغزم نمیرسید
soha
@sut_tw"
134144,2026-05-16T13:20:08+00:00,"شوهر دوستم سر شام خونه ما،
هرچی خورد گفت این بهترینی بوده که تابحال خوردم!
بهترین کرفس… بهترین ته‌چین عمرم… میرزاقاسمی بینظیر…
دوستم لبخند میزد ولی بوضوح خوشش نیمد.
شوهرم فضارو فهمید، گفت:
نگو اقا. امشب میری خونه، یه فس کتک میخوری، میگی این بهترینی بوده که تابحال خوردم.
😂
🤣
💀
محبوبهٔ شب
@sut_tw"
134145,2026-05-16T13:29:01+00:00,"اومدن خواستگاری. 
خانواده ما (دختر) گفتیم ما سخت نمیگیریم و چهارده تا سکه مهر میکنیم. 
عمه ی دوماد به شوخی گفته حالا که انقد ارزون حساب کردید اون یکی دخترتونم بدید پسر من. مشتری شیم. 
دعوا شده خواستگاری بهم خورده :)))
- SARA
@sut_tw"
134146,2026-05-16T13:40:03+00:00,"شاید خیلی بی‌ربط نباشه به حرف یه بزرگی اشاره کنم:
""if you are not dating for marriage
You are dating for a heartbreak.""
-شی‌لوک
@sut_tw"
134147,2026-05-16T13:50:12+00:00,"یازده سالم بود. داداشم همدان دانشجوی دندون‌پزشکی بود و یبار که برگشته بود شهرمون، یه خمیر دندون با خودش آورده بود و من فکر می‌کردم اینو تو دانشگاه بهشون دادن و حتما خیلی چیز خفنیه و فقط با اون مسواک زدم. بعد چند روز فهمیدم اونی که باهاش مسواک می‌زنم خمیر دندون نیست، خمیر ریشه :))))
- Siamak Taghizadeh
@sut_tw"
134148,2026-05-16T14:04:04+00:00,"ولی خودمونیما،
این وی‌پی‌ان‌های یک گیگ دو گیگ عجیب تجربه‌ی تحقیرآمیزی بود.
- 
▪
︎ ꜱᴀʟᴠᴀᴅᴏʀ 
@sut_tw"
134149,2026-05-16T14:10:10+00:00,"قدیم‌ها آب کله پاچه رایگان بود تا اگر کسی هوس کله پاچه کرد و پول نداشت بتونه بخوره.
یا سوپ توی رستورانها رایگان بود تا فقیری اگر پول نداشت حداقل گشنه نمونه.
قدیمها نسیه یه امر روتین بود و جایی تابلو نسیه ممنوع نمیدیدی.
برکت وقتی از زندگی هامون رفت که دیگه به همدیگه رحم نکردیم.
- کاتسوموتو 
@sut_tw"
134150,2026-05-16T14:20:09+00:00,"وقتی یه دختر و خوشحال میکنی، اون خوشحال ترت میکنه (only real men understand)
- Parmis sanieifar 
@sut_tw"
134151,2026-05-16T14:34:17+00:00,"زیادی خسته برای بیرون رفتن و زیادی ددری برای خانه ماندن.
- حشمت کرایست 
@sut_tw"
134152,2026-05-16T14:40:08+00:00,"«سیکتیر» واقعا فحش محبوبمه، خیلی کوتاه، مفهومی، ضربتی منظورو میرسونه
- aliz 
@sut_tw"
134153,2026-05-16T14:50:08+00:00,"زیر ساخت اصلی ادب ما بود که از بین رفت ، من با دهان الوده به کص ننت نمی تونم دیگه یه مکالمه عادی با کسی داشته باشم
- پل خواجو 
@sut_tw"
134154,2026-05-16T15:02:08+00:00,"ولی تو هرکتابخونه ای یه ""روح کتابخون""واجبه:)
- نَهان 
@sut_tw"
134155,2026-05-16T15:10:07+00:00,"یه بارم یه اتفاق بدی برام افتاد فوری با بغض رفتم تو حموم گفتم بذار زیر دوش چمباتمه بزنم یکم زار بزنم :)) ولی قبل نشستن مجبور شدم ۵ دقیقه با آب سردوگرم ور برم تا دمای آب تنظیم شه :)))) کلا دردم یادم رفت :))))))))
- sara 
@sut_tw"
134156,2026-05-16T15:20:09+00:00,"- Hootan
@sut_tw"
134116,2026-05-16T08:40:09+00:00,"- siren
@sut_tw"
134117,2026-05-16T08:50:05+00:00,"کارزار حمایت نکردن از پوشاک ایرانی جدی
چه گوها که یه تاپ چسکی ۲۵۰۰
من ترجیح میدم دو تا پیتزا بخورم پیپی شه تا حمایت از تو چاقال
- Nunu
@sut_tw"
134118,2026-05-16T09:03:55+00:00,"هایده وقتی فهمید معین هم میخونه :
- پُل گاٰسکوئینٖ
@sut_tw"
134119,2026-05-16T09:10:10+00:00,"می‌خوام به وی‌پی‌ان فروشم بگم اگه التماستم کردم که حالم خرابه و بدجور لنگم بازم بهم جنس نفروش.
- Sajadi 
@sut_tw"
134120,2026-05-16T09:20:12+00:00,"اگه هشتاد دلارت بشه صد دلار، بیست درصد سود نکردی.
- Shipoolix
@sut_tw"
134121,2026-05-16T09:33:42+00:00,"لاوبامبینگ فقط «زیاد محبت کردن» نیست؛
سرعتِ غیرعادیِ صمیمیت، وعده‌های بزرگِ زودهنگام، وابسته‌کردن عاطفی و نادیده گرفتن مرزهای توئه که نگران‌کننده‌ست.
آدمی که واقعا دوستت داره، طبیعتا هیجانیه؛
اما به ریتم، امنیت و خواسته‌های تو هم احترام میذاره. 
- ریحانه مقدم‌ فلاح | روان‌درمانگر
@sut_tw"
134122,2026-05-16T09:40:10+00:00,"بمونم خونه overthink ميكنم، برم بيرون overpay.
- دیانا
@sut_tw"
134123,2026-05-16T09:50:11+00:00,"اولین بار که شنیدم دخترا یه چیزی به اسم پرده‌ی بکارت دارند نگران شدم نکنه من ندارم که انقدر راحت میرینم.
- پرانسس
@sut_tw"
134124,2026-05-16T10:00:15+00:00,"من تا اول راهنمایی فکر می کردم زایمان طبیعی از تو کون مادره
- Aliii
@sut_tw"
